2025-09-05 18:42:17 | __main__             | INFO     | __init__             | 🚀 Initializing Enhanced Pirate Bot with Services Architecture
2025-09-05 18:42:17 | utils.cache_manager  | INFO     | __init__             | Cache Manager initialized: TTL={'enabled': True, 'type': 'memory', 'ttl': {'requests': 300, 'users': 600, 'stats': 180, 'duplicates': 120}, 'max_size': 1000, 'cleanup_interval': 300, 'redis_config': {'host': 'localhost', 'port': 6379, 'db': 0, 'password': None, 'decode_responses': True}}s, Memory=100MB
2025-09-05 18:42:17 | __main__             | ERROR    | _init_core_components | ❌ Failed to start enhanced bot: StorageManager.__init__() got an unexpected keyword argument 'db_pool'
Traceback (most recent call last):
  File "/home/dovber/pirate-content-bot/pirate_content_bot/main/pirate_bot_main.py", line 162, in _init_core_components
    self.storage = StorageManager(db_pool=self.db_pool, cache_manager=self.cache_manager)
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: StorageManager.__init__() got an unexpected keyword argument 'db_pool'
2025-09-05 18:42:17 | __main__             | ERROR    | main                 | Failed to start enhanced bot: StorageManager.__init__() got an unexpected keyword argument 'db_pool'
2025-09-05 18:42:35 | __main__             | INFO     | __init__             | 🚀 Initializing Enhanced Pirate Bot with Services Architecture
2025-09-05 18:42:35 | utils.cache_manager  | INFO     | __init__             | Cache Manager initialized: TTL={'enabled': True, 'type': 'memory', 'ttl': {'requests': 300, 'users': 600, 'stats': 180, 'duplicates': 120}, 'max_size': 1000, 'cleanup_interval': 300, 'redis_config': {'host': 'localhost', 'port': 6379, 'db': 0, 'password': None, 'decode_responses': True}}s, Memory=100MB
2025-09-05 18:42:35 | core.storage_manager | INFO     | __init__             | Cache mode enabled
2025-09-05 18:42:35 | __main__             | INFO     | _init_core_components | ✅ Core components initialized
2025-09-05 18:42:35 | __main__             | ERROR    | _init_services       | ❌ Failed to initialize services: RequestService.__init__() got an unexpected keyword argument 'storage'
